Tipo Fondo,Fondo Mutuo,Administradora,Fec. Inicio Operación,Moneda Cuota,Valor Cuota,Rentabilidad 2024,Rentabilidad 2023,Rentabilidad 2022,Rentabilidad 2021,Rentabilidad 2020,Rentabilidad 2019,Rentabilidad 2018,Rentabilidad 2017,Rentabilidad 2016,Rentabilidad 2015,Rentabilidad 2014,Patrimonio S/.,Partícipes N,Años,Categoria,Fund id,Highest Return,Lowest Return,Avg Return (Arithmetic),Standard Deviation of Returns,Total Cumulative Return,Cumulative Return Period,Annualized Cumulative Return,CAGR,Sharpe Ratio,Risk
Renta Variable,CREDICORP ACCIONES GLOBAL,CREDIFONDO SAF,25/03/2013,$,180.92,0.0967,0.1656,-0.2041,0.1397,0.1303,0.2313,-0.1154,0.2009,0.0315,-0.0556,-0.0042,23652842.51,894.0,11,Renta Variable,1,0.2313,-0.2041,0.058733333333333325,0.13201518698982928,0.6630111260617884,10.5,0.06314391676778937,0.049633380696051166,0.22446948242654977,Medium
Renta Variable,CREDICORP CAPITAL ACCIONES,CREDIFONDO SAF,17/01/2007,$,166.16,0.106,0.228,0.0215,-0.0644,-0.0588,0.0563,-0.1253,0.2724,0.5416,-0.4038,-0.116,43751750.38,564.0,17,Renta Variable,2,0.5416,-0.4038,0.04357142857142856,0.23649234008784012,0.16694396272202824,10.5,0.015899425021145545,0.014812281291876062,-0.021936096138238853,High
Renta Variable,Faro Global Innovation Instit.,FARO CAPITAL SAFI,27/01/2020,$,0.0,,,,,,,,,,,,18290288.23,30.0,4,Renta Variable,3,,,,,,,,,,
Renta Variable,-Faro Global Innovation Instit. SERIE A,FARO CAPITAL SAFI,27/01/2020,$,93.67,0.0684,0.2314,-0.3026,-0.1966,,,,,,,,,1.0,4,Renta Variable,4,0.2314,-0.3026,-0.05697142857142856,0.21136793097558096,-0.26286539622139826,3.5,-0.07510439892039951,-0.0834498595557831,-0.48943025121315364,High
Renta Variable,-Faro Global Innovation Instit. SERIE B,FARO CAPITAL SAFI,27/01/2020,$,126.75,0.0671,0.2285,-0.3043,-0.0248,,,,,,,,,4.0,4,Renta Variable,5,0.2285,-0.3043,-0.009571428571428568,0.1934252783798605,-0.11060235187519624,3.5,-0.031600671964341784,-0.03293427019520134,-0.2736677989484175,Medium High
Renta Variable,-Faro Global Innovation Instit. SERIE C,FARO CAPITAL SAFI,27/01/2020,$,125.42,0.0658,0.2256,-0.3059,-0.0271,0.4255,,,,,,,,25.0,4,Renta Variable,6,0.4255,-0.3059,0.0853111111111111,0.24554939514645546,0.25742455682314414,4.5,0.05720545707180981,0.05222132017354619,0.13122133798915736,High
Renta Variable,FARO RENTA VARIABLE GLOBAL,FARO CAPITAL SAFI,29/05/2018,$,0.0,,,,,,,,,,,,71182192.03,55.0,6,Renta Variable,7,,,,,,,,,,
Renta Variable,-FARO RENTA VARIABLE GLOBAL SERIE A,FARO CAPITAL SAFI,29/05/2018,$,147.85,0.0925,0.1724,-0.206,0.1192,0.2443,0.1666,-0.1108,,,,,,3.0,6,Renta Variable,8,0.2443,-0.206,0.07356923076923076,0.15220416256000266,0.4691697799800443,6.5,0.07217996615077604,0.060970680586503345,0.26918239223813395,Medium High
Renta Variable,-FARO RENTA VARIABLE GLOBAL SERIE B,FARO CAPITAL SAFI,29/05/2018,$,145.26,0.0912,0.1697,-0.208,0.1165,0.2414,0.1618,-0.1133,,,,,,8.0,6,Renta Variable,9,0.2414,-0.208,0.07066153846153846,0.15179099911837945,0.4433862967624066,6.5,0.06821327642498563,0.05808460766390433,0.250901620551313,Medium High
Renta Variable,-FARO RENTA VARIABLE GLOBAL SERIE C,FARO CAPITAL SAFI,29/05/2018,$,141.09,0.0886,0.1642,-0.2117,0.1113,0.2356,0.156,-0.1158,,,,,,44.0,6,Renta Variable,10,0.2356,-0.2117,0.06587692307692308,0.15082182772847424,0.40218400954035444,6.5,0.06187446300620837,0.0533807708370202,0.22132586071769308,Medium High
